Grid,Coordinates,Porcelain 2020,Glassware 2020,Pipe Stem 2020,Faunal Remains 2020,Porcelain 2021,Glassware 2021,Pipe Stem 2021,Faunal Remains 2021,Porcelain 2022,Glassware 2022,Pipe Stem 2022,Faunal Remains 2022,DBS 2020,DBS 2021,DBS 2022,Total Porcelain,Total Glassware,Total Pipe,Total Faunal
S2E2,,0,0,0,0,0,0,0,0,3,4,1,5,0,0,30.4,3,4,1,5
S2E1,,0,0,0,0,0,0,0,0,2,5,0,6,0,0,25.5,2,5,0,6
S2W1,,3,6,0,0,5,8,0,1,4,7,0,0,12.5,22.5,30.5,12,21,0,1
S2W2,,4,3,0,0,6,1,0,2,3,3,0,3,11.5,25.4,31,13,7,0,5
S2W3,,10,4,2,4,15,2,1,2,19,3,0,5,13,23.5,35.5,44,9,3,11
S2W4,,20,8,3,20,18,4,2,19,20,8,3,10,13.5,26.5,44.5,58,20,8,49
S3E2,,0,2,0,0,0,1,0,1,2,4,0,1,12,23.5,32,2,7,0,2
S3E1,,1,4,0,1,0,2,0,0,1,5,0,0,15.5,24,28,2,11,0,1
S3W1,,2,9,0,1,2,12,0,0,0,4,0,0,17,27.5,38.8,4,25,0,1
S3W2,,3,10,0,0,3,15,0,1,5,10,0,1,12,25,42.3,11,35,0,2
S3W3,,8,3,2,0,9,4,1,0,12,3,0,6,11.5,28,44.5,29,10,3,6
S3W4,,15,16,3,18,15,15,0,15,16,18,0,15,8,28,44.5,46,49,3,48
S4W1,,3,5,0,0,0,3,0,1,1,1,1,1,7,26.5,30.1,4,9,1,2
S4W2,,4,8,0,0,6,5,0,0,5,2,0,0,10,26.5,35.4,15,15,0,0
S4W3,,10,9,0,3,12,11,0,2,8,7,1,16,12,29,45,30,27,1,21
S4W4,,0,0,0,0,0,0,0,0,4,15,0,13,0,0,44.5,4,15,0,13
S5W1,,5,2,0,0,2,4,0,0,1,3,0,0,9,24,30.5,8,9,0,0
S5W2,,1,4,0,0,3,7,0,1,3,4,0,2,11,23.5,34,7,15,0,3
S5W3,,7,0,4,4,6,2,2,6,6,2,3,3,13.5,25,41.5,19,4,9,13
S5W4,,0,0,0,0,0,0,0,0,5,0,0,9,0,0,42.5,5,0,0,9
